# 005b1087-126f-4e17-b4be-db711b0e1467
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2; banking_rad; s_ref_m; psi_ref_rad; kappa_ref_radpm; dkappa_ref_radpm2
-318.2394191; -1851.3188148; 7.4555399; 7.6169601; -0.9999173; -0.0128605; 5.8967093; 0.0000000; -3.1290049; -0.0000036; 88.4883003; 0.2258171; 0.0000000; 0.0000000; -3.1287318; 0.0000011; -0.0000000
-318.2008583; -1854.3165890; 7.4519884; 7.6213859; -0.9999173; -0.0128636; 5.8975489; 2.9980408; -3.1290121; -0.0000036; 88.4934016; 0.2252038; 0.0000000; 2.9980221; -3.1287287; 0.0000010; -0.0000000
-318.1622886; -1857.3143656; 7.4481279; 7.6255224; -0.9999172; -0.0128663; 5.8984302; 5.9960816; -3.1290268; -0.0000037; 88.5035617; 0.2233590; 0.0000000; 5.9960468; -3.1287260; 0.0000008; -0.0000000
-318.1237115; -1860.3121448; 7.4450143; 7.6284604; -0.9999172; -0.0128686; 5.8993522; 8.9941226; -3.1290342; -0.0000037; 88.5086066; 0.2227518; 0.0000000; 8.9940743; -3.1287237; 0.0000007; -0.0000000
-318.0851282; -1863.3099269; 7.4422333; 7.6304667; -0.9999172; -0.0128704; 5.9003143; 11.9921638; -3.1290493; -0.0000038; 88.5186544; 0.2209280; 0.0000000; 11.9921046; -3.1287219; 0.0000005; -0.0000000
-318.0465401; -1866.3077119; 7.4400549; 7.6316688; -0.9999172; -0.0128718; 5.9013153; 14.9902054; -3.1290570; -0.0000038; 88.5236435; 0.2203268; 0.0000000; 14.9901381; -3.1287205; 0.0000004; -0.0000000
-318.0079485; -1869.3055002; 7.4395386; 7.6321661; -0.9999171; -0.0128727; 5.9023544; 17.9882477; -3.1290725; -0.0000039; 88.5335802; 0.2185238; 0.0000000; 17.9881747; -3.1287196; 0.0000002; -0.0000000
-317.9693548; -1872.3032919; 7.4409946; 7.6318340; -0.9999171; -0.0128732; 5.9034307; 20.9862907; -3.1290803; -0.0000039; 88.5385142; 0.2179286; 0.0000000; 20.9862148; -3.1287191; 0.0000001; -0.0000000
-317.9307603; -1875.3010871; 7.4435231; 7.6308809; -0.9999171; -0.0128732; 5.9045431; 23.9843347; -3.1290961; -0.0000040; 88.5483411; 0.2161461; 0.0000000; 23.9842584; -3.1287191; -0.0000001; -0.0000000
-317.8921664; -1878.2988860; 7.4463495; 7.6292300; -0.9999171; -0.0128728; 5.9056905; 26.9823798; -3.1291040; -0.0000040; 88.5532206; 0.2155569; 0.0000000; 26.9823058; -3.1287195; -0.0000002; -0.0000000
