# a219a449-2337-4b8e-8bf0-6a7fb514a712
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2; banking_rad; s_ref_m; psi_ref_rad; kappa_ref_radpm; dkappa_ref_radpm2
-305.2136590; -1850.8254925; 3.6345514; 3.5312486; -0.9999285; -0.0119596; -0.5895225; 0.0000000; -3.1297873; -0.0000132; 88.3147738; 0.2536029; 0.0000000; 0.0000000; -3.1296327; 0.0000023; 0.0000001
-305.1777725; -1853.8249916; 3.5899157; 3.5340484; -0.9999284; -0.0119671; -0.5889879; 2.9997093; -3.1298413; -0.0000138; 88.3262403; 0.2522231; 0.0000000; 2.9997137; -3.1296252; 0.0000027; 0.0000001
-305.1418621; -1856.8244900; 3.5267817; 3.5467165; -0.9999283; -0.0119756; -0.5883064; 5.9994178; -3.1298693; -0.0000142; 88.3319496; 0.2508355; 0.0000000; 5.9994271; -3.1296168; 0.0000030; 0.0000001
-305.1059250; -1859.8239877; 3.4868003; 3.5838775; -0.9999282; -0.0119850; -0.5874704; 8.9991254; -3.1299276; -0.0000150; 88.3432888; 0.2494698; 0.0000000; 8.9991401; -3.1296074; 0.0000033; 0.0000001
-305.0699583; -1862.8234846; 3.5042245; 3.6224964; -0.9999281; -0.0119953; -0.5864719; 11.9988320; -3.1299579; -0.0000154; 88.3489347; 0.2480983; 0.0000000; 11.9988526; -3.1295971; 0.0000036; 0.0000001
-305.0339593; -1865.8229805; 3.5247859; 3.6612263; -0.9999279; -0.0120065; -0.5853027; 14.9985376; -3.1300211; -0.0000162; 88.3601480; 0.2467466; 0.0000000; 14.9985645; -3.1295858; 0.0000039; 0.0000001
-304.9979252; -1868.8224753; 3.5551973; 3.6936866; -0.9999278; -0.0120187; -0.5839543; 17.9982420; -3.1300540; -0.0000167; 88.3657312; 0.2453910; 0.0000000; 17.9982757; -3.1295736; 0.0000042; 0.0000001
-304.9618530; -1871.8219688; 3.6328647; 3.6856310; -0.9999276; -0.0120318; -0.5824178; 20.9979452; -3.1301225; -0.0000176; 88.3768200; 0.2440531; 0.0000000; 20.9979862; -3.1295605; 0.0000045; 0.0000001
-304.9257402; -1874.8214610; 3.7230469; 3.6697382; -0.9999274; -0.0120459; -0.5806842; 23.9976470; -3.1301582; -0.0000181; 88.3823412; 0.2427130; 0.0000000; 23.9976957; -3.1295465; 0.0000048; 0.0000001
-304.8895837; -1877.8209516; 3.7748856; 3.6541263; -0.9999273; -0.0120609; -0.5787441; 26.9973475; -3.1302326; -0.0000191; 88.3933070; 0.2413887; 0.0000000; 26.9974043; -3.1295315; 0.0000052; 0.0000001
-304.8533808; -1880.8204406; 3.7586691; 3.6394364; -0.9999271; -0.0120768; -0.5765879; 29.9970465; -3.1302714; -0.0000197; 88.3987669; 0.2400640; 0.0000000; 29.9971117; -3.1295155; 0.0000055; 0.0000001
-304.8171288; -1883.8199278; 3.7409708; 3.6342594; -0.9999269; -0.0120937; -0.5742054; 32.9967440; -3.1303522; -0.0000208; 88.4096110; 0.2387531; 0.0000000; 32.9968180; -3.1294986; 0.0000058; 0.0000001
-304.7808248; -1886.8194131; 3.7259976; 3.6321062; -0.9999267; -0.0121115; -0.5715864; 35.9964399; -3.1303944; -0.0000214; 88.4150103; 0.2374435; 0.0000000; 35.9965229; -3.1294808; 0.0000061; 0.0000001
-304.7444659; -1889.8188963; 3.7366435; 3.6297765; -0.9999264; -0.0121303; -0.5687200; 38.9961342; -3.1304824; -0.0000226; 88.4257340; 0.2361456; 0.0000000; 38.9962265; -3.1294621; 0.0000064; 0.0000001
-304.7080494; -1892.8183773; 3.7557424; 3.6271590; -0.9999262; -0.0121499; -0.5655952; 41.9958267; -3.1305283; -0.0000233; 88.4310734; 0.2348508; 0.0000000; 41.9959286; -3.1294424; 0.0000067; 0.0000001
-304.6715725; -1895.8178560; 3.7742375; 3.6229554; -0.9999259; -0.0121706; -0.5622004; 44.9955175; -3.1306240; -0.0000246; 88.4416781; 0.2335659; 0.0000000; 44.9956291; -3.1294218; 0.0000070; 0.0000001
-304.6350324; -1898.8173322; 3.7934348; 3.6183624; -0.9999257; -0.0121921; -0.5585238; 47.9952065; -3.1306740; -0.0000253; 88.4469581; 0.2322855; 0.0000000; 47.9953279; -3.1294002; 0.0000073; 0.0000001
-304.5984262; -1901.8168059; 3.8033585; 3.6136544; -0.9999254; -0.0122146; -0.5545528; 50.9948936; -3.1307784; -0.0000269; 88.4574452; 0.2310132; 0.0000000; 50.9950249; -3.1293777; 0.0000077; 0.0000001
-304.5617512; -1904.8162768; 3.7930716; 3.6088169; -0.9999251; -0.0122380; -0.5502748; 53.9945788; -3.1308328; -0.0000276; 88.4626666; 0.2297470; 0.0000000; 53.9947200; -3.1293543; 0.0000080; 0.0000001
-304.5250045; -1907.8157448; 3.7821931; 3.6119069; -0.9999248; -0.0122624; -0.5456763; 56.9942621; -3.1309466; -0.0000293; 88.4730371; 0.2284869; 0.0000000; 56.9944131; -3.1293299; 0.0000083; 0.0000001
-304.4881833; -1910.8152099; 3.7713318; 3.6238682; -0.9999245; -0.0122877; -0.5407434; 59.9939435; -3.1310061; -0.0000302; 88.4782006; 0.2272345; 0.0000000; 59.9941042; -3.1293046; 0.0000086; 0.0000001
